SCORE SCREEN,,Draft: https://canva.link/ippxncrqya9xrpe,,,,,,,,MOBILE APP,Draft: https://canva.link/lhmw4zvcescv98h,
Page #,Slide,Stage Direction in Script,custom,id,Type,Visuals,Text ,Voting Results ,Result Type,Slide,Title,Text
1,1,(A desolate space is illuminated by only the dim glow of a giant Score Screen that hangs in the background.,FALSE,black1,Image,Black,,,,1,Welcome,Welcome to Island Dating Show. Voting will begin shortly.
,2,"It flickers, ",FALSE,glitch1,Video,Film glitch,,,,,,
,3, then displays a hauntingly abrasive explosion of neon.),FALSE,pink1,Image,Pink background,Island Dating Show,,,,,
3,4,"(The SCORE SCREEN illuminates, which reads “Pull out your phone & get ready to VOTE!” A QR code appears.)",FALSE,get-ready1,Image,Vote + QR code,Get out your phone & get ready to VOTE!,,,4,Get Ready,Get Ready To Vote!
,5,"""TO THE BIRDS HERE ON THE ISLAND DATING SHOW""",FALSE,pinkbirds,Image,Pink background,The Birds,,,,,
,6,"Top of ""1B: Island Dating Show""",FALSE,pinklads,Image,Pink background,The Lads,,,,,
8,7,(SCORE SCREEN: First impressions last forever! Vote now for your favorite couple!,FALSE,vote-first-impression,Image,Vote + QR code,First impressions last forever! VOTE NOW for your favorite couple!,Results on Slide 11,,7,First Impression,"First impressions 
last forever! 
VOTE NOW for your favorite couple!"
9,8,(SCORE SCREEN DING!) Message in a bottle! ... ,FALSE,message1,Image,Alert,Message in a bottle!,,,,,
,9,Thaddeus!,FALSE,message-thaddeus,Image,Alert,Thaddeus!,,,,,
,10,“The winning pair of the First Impression Vote is: ,FALSE,blue1,Image,Blue background,The winning pair of the First Impression Vote is...,,,,,
,11,[Winning Couple’s Name]! (The SCORE SCREEN reflects live results from the first vote.),TRUE,results-first-impression-cc,Image,Live Vote results,First Impression Vote Winners! Charlotte & Callum,First Impression Results (couple),Only winning couple image,11,Thanks,Thanks for voting!
,12,,FALSE,results-first-impression-ha,Image,,First Impression Vote Winners! Henrietta & Alfie,,,,,
,13,,FALSE,results-first-impression-mt,Image,,First Impression Vote Winners! Marta & Thaddeus,,,,,
,14,,FALSE,results-first-impression-pr,Image,,First Impression Vote Winners! Poppi & Rory,,,,,
,15,Now let’s see how compatible you really are with the partner you met literally 30 seconds ago in today’s challenge...,FALSE,blue2,Image,Blue background,Now let’s see how compatible you really are with the partner you met literally 30 seconds ago in today’s challenge...,,,,,
,16,Just My Type!,FALSE,challenge1,Image,Pink background,Challenge 1: Just My Type!,,,,,
10,17,(SCORE SCREEN: Get out your phones & get ready to VOTE!),FALSE,get-ready2,Image,Vote + QR code,Get out your phone & get ready to VOTE! ,Results on Slide 22,,17,Get Ready,Get Ready To Vote!
,18,(SCORE SCREEN: Henrietta & Alfie ~ 1) Each Other’s Type to a T! OR 2) Major Typo!),FALSE,type-ha,Image,Vote ,Henrietta & Alfie ~ 1) Each Other’s Type to a T! OR 2) Major Typo!),,,18,Henrietta & Alfie,Henrietta & Alfie
11,19,(SCORE SCREEN: Poppi & Rory ~ 1) Each Other’s Type to a T! OR 2) Major Typo!),FALSE,type-pr,Image,Vote ,Poppi & Rory ~ 1) Each Other’s Type to a T! OR 2) Major Typo!,,,19,Poppi & Rory,Poppi & Rory
,20,(SCORE SCREEN: Charlotte & Callum ~ 1) Each Other’s Type to a T! OR 2) Major Typo!),FALSE,type-cc,Image,Vote ,Charlotte & Callum ~ 1) Each Other’s Type to a T! OR 2) Major Typo!,,,20,Charlotte & Callum,Charlotte & Callum
12,21,(SCORE SCREEN: Marta & Thaddeus ~ 1) Each Other’s Type to a T! OR 2) Major Typo!),FALSE,type-mt,Image,Vote ,Marta & Thaddeus ~ 1) Each Other’s Type to a T! OR 2) Major Typo!,,,21,Marta & Thad,Marta & Thad
,22,(SCORE SCREEN: “Most Compatible: [Pair]!” They cheer.),TRUE,results-most-compatible,Image,Live Vote results,Most Compatible!,Most Compatible Results (couple),Complete ranking,22,Thanks,Thanks for voting!
,23,(SCORE SCREEN: “Winner: Alfie!” MILLICENT exits.),FALSE,winner-alfie,Image,Pink background,Winner: Alfie!,,,,,
,24,“Alfie!”--that’s me!--“Congratulations on winning the first challenge! Please head to the Love Nest…” (HENRIETTA squeals) “...to collect your prize…,FALSE,blue3,Image,Blue background,Congratulations on winning the first challenge! Please head to the Love Nest to collect your prize…,,,,,
,25,A bombshell.,FALSE,blue4,Image,Blue background,Congratulations on winning the first challenge! Please head to the Love Nest to collect your prize… A bombshell.,,,,,
13,26,(SCORE SCREEN plays [the loser’s] pre-recorded reaction in a confessional-style revelation.),TRUE,video-first-loser-cc,Video,Video - [Loser’s] pre-recorded reaction in confessional,LOSERS: Charlotte & Callum,Bottom couple from Slide 22 results,,,,
,27,,FALSE,video-first-loser-ha,Video,,LOSERS: Henrietta & Alfie,,,,,
,28,,FALSE,video-first-loser-mt,Video,,LOSERS: Marta & Thaddeus,,,,,
,29,,FALSE,video-first-loser-pr,Video,,LOSERS: Poppi & Rory,,,,,
14,30,Top of Scene 3,FALSE,love-nest1,Image,Love Nest background,,,,,,
,31,"(The Score Screen blinks on and projects NAMELESS ONSCREEN WOMAN, who is a compilation of static images.",FALSE,nameless-buttons,Image,Nameless Onscreen Woman + buttons,,,,,,
,32,,FALSE,nameless-buttons-speech,Image,Nameless Onscreen Woman + buttons + speech bubble,,,,,,
15,33,"(The SCORE SCREEN updates, announcing her job: Model.)",FALSE,nameless-buttons-model,Image,Nameless Onscreen Woman + buttons + title,Model,,,,,
,34,,FALSE,nameless-buttons-model-speech,Image,Nameless Onscreen Woman + title + speech bubble,,,,,,
16,35,(He clicks a button. Her hips become gigantic.),FALSE,nameless-butt,Image,Nameless Onscreen Woman + mega butt mode,,,,,,
,36,,FALSE,nameless-butt-speech,Image,Nameless Onscreen Woman + mega butt mode + speech bubble,,,,,,
,37,,FALSE,nameless-nest,Image,Nameless Onscreen Woman,,,,,,
,38,,FALSE,nameless-speech,Image,Nameless Onscreen Woman + speech bubble,,,,,,
,39,(SCORE SCREEN: “VOTE NOW: Is she The Hottest or is she THE HOTTEST?!”,FALSE,vote-hottest,Image,Pink background,VOTE NOW: Is she The Hottest or is she THE HOTTEST?!,,,39,Hottest,Is she the hottest or THE HOTTEST
17,40,Top of Scene 4,FALSE,stars1,Image,Stars,,,,,,
19,41,“Message in a bottle! … ,FALSE,message2,Image,Alert,Message in a bottle!,,,40,Thanks,Thanks for voting!
,42,Henrietta!”,FALSE,message-henrietta1,Image,Alert,Henrietta!,,,,,
