Page #,Slide,Stage Direction in Script,custom,id,Type,Visuals,Text ,Voting Results ,Result Type,Slide,Title,Text
,0,Pre-show,,title-start,Image,Title Card,,,,,,
1,1,(A desolate space is illuminated by only the dim glow of a giant Score Screen that hangs in the background.,FALSE,black1,Image,Black,,,,1,Welcome,Welcome to Island Dating Show. Voting will begin shortly.
,2, then displays a hauntingly abrasive explosion of neon.),FALSE,pink1,Image,Pink background,Island Dating Show,,,,,
3,3,"(The SCORE SCREEN illuminates, which reads “Pull out your phone & get ready to VOTE!” A QR code appears.)",FALSE,get-ready1,Image,Vote + QR code,Get out your phone & get ready to VOTE!,,,3,Get Ready,Get Ready To Vote!
,4,"""TO THE BIRDS HERE ON THE ISLAND DATING SHOW""",FALSE,pinkbirds,Image,Pink background,The Birds,,,,,
,5,"Top of ""1B: Island Dating Show""",FALSE,pinklads,Image,Pink background,The Lads,,,,,
8,6,(SCORE SCREEN: First impressions last forever! Vote now for your favorite couple!,FALSE,vote-first-impression,Image,Vote + QR code,First impressions last forever! VOTE NOW for your favorite couple!,Results on Slide 10,,6,First Impression,"First impressions 
last forever! 
VOTE NOW for your favorite couple!"
9,7,(SCORE SCREEN DING!) Message in a bottle! ... ,FALSE,message1,Image,Alert,Message in a bottle!,,,,,
,8,Thaddeus!,FALSE,message-thaddeus,Image,Alert,Thaddeus!,,,,,
,9,“The winning pair of the First Impression Vote is: ,FALSE,blue1,Image,Blue background,The winning pair of the First Impression Vote is...,,,,,
,10,[Winning Couple’s Name]! (The SCORE SCREEN reflects live results from the first vote.),TRUE,results-first-impression-cc,Image,Live Vote results,First Impression Vote Winners! Charlotte & Callum,First Impression Results (couple),Only winning couple image,10,Thanks,Thanks for voting!
,11,,FALSE,results-first-impression-ha,Image,,First Impression Vote Winners! Henrietta & Alfie,,,,,
,12,,FALSE,results-first-impression-mt,Image,,First Impression Vote Winners! Marta & Thaddeus,,,,,
,13,,FALSE,results-first-impression-pr,Image,,First Impression Vote Winners! Poppi & Rory,,,,,
,14,Now let’s see how compatible you really are with the partner you met literally 30 seconds ago in today’s challenge...,FALSE,blue2,Image,Blue background,Now let’s see how compatible you really are with the partner you met literally 30 seconds ago in today’s challenge...,,,,,
,15,Just My Type!,FALSE,challenge1,Image,Pink background,Challenge 1: Just My Type!,,,,,
10,16,(SCORE SCREEN: Get out your phones & get ready to VOTE!),FALSE,get-ready2,Image,Vote + QR code,Get out your phone & get ready to VOTE! ,Results on Slide 21,,15,Get Ready,Get Ready To Vote!
,17,(SCORE SCREEN: Henrietta & Alfie ~ 1) Each Other’s Type to a T! OR 2) Major Typo!),FALSE,type-ha,Image,Vote ,Henrietta & Alfie ~ 1) Each Other’s Type to a T! OR 2) Major Typo!),,,17,Henrietta & Alfie,Henrietta & Alfie
11,18,(SCORE SCREEN: Poppi & Rory ~ 1) Each Other’s Type to a T! OR 2) Major Typo!),FALSE,type-pr,Image,Vote ,Poppi & Rory ~ 1) Each Other’s Type to a T! OR 2) Major Typo!,,,18,Poppi & Rory,Poppi & Rory
,19,(SCORE SCREEN: Charlotte & Callum ~ 1) Each Other’s Type to a T! OR 2) Major Typo!),FALSE,type-cc,Image,Vote ,Charlotte & Callum ~ 1) Each Other’s Type to a T! OR 2) Major Typo!,,,19,Charlotte & Callum,Charlotte & Callum
12,20,(SCORE SCREEN: Marta & Thaddeus ~ 1) Each Other’s Type to a T! OR 2) Major Typo!),FALSE,type-mt,Image,Vote ,Marta & Thaddeus ~ 1) Each Other’s Type to a T! OR 2) Major Typo!,,,20,Marta & Thad,Marta & Thad
,21,(SCORE SCREEN: “Most Compatible: [Pair]!” They cheer.),TRUE,results-most-compatible,Image,Live Vote results,Most Compatible!,Most Compatible Results (couple),Complete ranking,21,Thanks,Thanks for voting!
,22,(SCORE SCREEN: “Winner: Alfie!” MILLICENT exits.),FALSE,winner-alfie,Image,Pink background,Winner: Alfie!,,,,,
,23,“Alfie!”--that’s me!--“Congratulations on winning the first challenge! Please head to the Love Nest…” (HENRIETTA squeals) “...to collect your prize…,FALSE,blue3,Image,Blue background,Congratulations on winning the first challenge! Please head to the Love Nest to collect your prize…,,,,,
,24,A bombshell.,FALSE,blue4,Image,Blue background,Congratulations on winning the first challenge! Please head to the Love Nest to collect your prize… A bombshell.,,,,,
13,25,(SCORE SCREEN plays [the loser’s] pre-recorded reaction in a confessional-style revelation.),TRUE,video-first-loser-cc,Video,Video - [Loser’s] pre-recorded reaction in confessional,LOSERS: Charlotte & Callum,Bottom couple from Slide 21 results,,,,
,26,,FALSE,video-first-loser-ha,Video,,LOSERS: Henrietta & Alfie,,,,,
,27,,FALSE,video-first-loser-mt,Video,,LOSERS: Marta & Thaddeus,,,,,
,28,,FALSE,video-first-loser-pr,Video,,LOSERS: Poppi & Rory,,,,,
14,29,Top of Scene 3,FALSE,love-nest1,Image,Love Nest background,,,,,,
,30,"(The Score Screen blinks on and projects NAMELESS ONSCREEN WOMAN, who is a compilation of static images.",FALSE,nameless-buttons,Image,Nameless Onscreen Woman + buttons,,,,,,
,31,,FALSE,nameless-buttons-speech,Image,Nameless Onscreen Woman + buttons + speech bubble,,,,,,
15,32,"(The SCORE SCREEN updates, announcing her job: Model.)",FALSE,nameless-buttons-model,Image,Nameless Onscreen Woman + buttons + title,Model,,,,,
,33,,FALSE,nameless-buttons-model-speech,Image,Nameless Onscreen Woman + title + speech bubble,,,,,,
16,34,(He clicks a button. Her hips become gigantic.),FALSE,nameless-butt,Image,Nameless Onscreen Woman + mega butt mode,,,,,,
,35,,FALSE,nameless-butt-speech,Image,Nameless Onscreen Woman + mega butt mode + speech bubble,,,,,,
,36,,FALSE,nameless-nest,Image,Nameless Onscreen Woman,,,,,,
,37,,FALSE,nameless-speech,Image,Nameless Onscreen Woman + speech bubble,,,,,,
,38,(SCORE SCREEN: “VOTE NOW: Is she The Hottest or is she THE HOTTEST?!”,FALSE,vote-hottest,Image,Pink background,VOTE NOW: Is she The Hottest or is she THE HOTTEST?!,,,38,Hottest,Is she the hottest or THE HOTTEST??
17,39,Top of Scene 4,FALSE,stars1,Image,Stars,,,,,,
19,40,“Message in a bottle! … ,FALSE,message2,Image,Alert,Message in a bottle!,,,40,Thanks,Thanks for voting!
,41,Henrietta!”,FALSE,message-henrietta1,Image,Alert,Henrietta!,,,,,
